Date,Cash_In,Cash_Out,Net_Cashflow,End_Balance,Transaction_Count,Lag_1,Lag_7,Rolling_Mean_7,Rolling_Std_7,Rolling_CashIn_7,Rolling_CashOut_7,Target
22-10-2023,0,210,-210,491.8,2,-2606,-915,-207.4285714,1175.057141,4010,5462,200
23-10-2023,370,170,200,691.8,4,-210,300,-221.7142857,1168.449216,3080,4632,-93
24-10-2023,350,443,-93,598.8,7,200,709,-336.2857143,1099.249246,2480,4834,921
25-10-2023,1000,79,921,1519.8,3,-93,930,-337.5714286,1097.525225,2550,4913,-10
26-10-2023,0,10,-10,1509.8,1,921,-35,-334,1098.713945,2550,4888,36
28-10-2023,800,764,36,1545.8,5,-10,-540,-251.7142857,1102.278052,3350,5112,-20
30-10-2023,202,222,-20,1525.8,4,36,-2606,117.7142857,375.4529328,2722,1898,-30
31-10-2023,0,30,-30,1495.8,1,-20,-210,143.4285714,354.8670442,2722,1718,-145
01-11-2023,0,145,-145,1350.8,1,-30,200,94.14285714,369.362256,2352,1693,-380
02-11-2023,280,660,-380,970.8,4,-145,-93,53.14285714,407.5522169,2282,1910,-240
03-11-2023,0,240,-240,730.8,2,-380,921,-112.7142857,150.9908543,1282,2071,-519
04-11-2023,0,519,-519,211.8,2,-240,-10,-185.4285714,205.8703938,1282,2580,-20
05-11-2023,0,20,-20,191.8,1,-519,36,-193.4285714,196.7162569,482,1836,-105
06-11-2023,200,305,-105,86.8,3,-20,-20,-205.5714286,186.5894398,480,1919,539
07-11-2023,1150,611,539,625.8,5,-105,-30,-124.2857143,338.1822557,1630,2500,395
08-11-2023,445,50,395,1020.8,4,539,-145,-47.14285714,390.2509571,2075,2405,3010
09-11-2023,3150,140,3010,4030.8,3,395,-380,437.1428571,1190.754303,4945,1885,-1290
10-11-2023,10,1300,-1290,2740.8,3,3010,-240,287.1428571,1346.252506,4955,2945,3250
11-11-2023,3440,190,3250,5990.8,4,-1290,-519,825.5714286,1681.947964,8395,2616,1360
12-11-2023,4900,3540,1360,7350.8,6,3250,-20,1022.714286,1646.828236,13295,6136,-1220
13-11-2023,0,1220,-1220,6130.8,3,1360,-105,863.4285714,1819.005393,13095,7051,18841
14-11-2023,38001,19160,18841,24971.8,9,-1220,539,3478,7012.947763,49946,25600,-12511
15-11-2023,2000,14511,-12511,12460.8,7,18841,395,1634.285714,9286.521357,51501,40061,45720
16-11-2023,46720,1000,45720,58180.8,4,-12511,3010,7735.714286,19142.0239,95071,40921,-27980
17-11-2023,270,28250,-27980,30200.8,5,45720,-1290,3922.857143,23419.67138,95331,67871,-430
18-11-2023,0,430,-430,29770.8,2,-27980,3250,3397.142857,23478.52226,91891,68111,80
19-11-2023,600,520,80,29850.8,4,-430,1360,3214.285714,23502.00514,87591,65091,1455
20-11-2023,1700,245,1455,31305.8,3,80,-1220,3596.428571,23439.55147,89291,64116,2200
21-11-2023,2200,0,2200,33505.8,1,1455,18841,1219.142857,22459.10387,53490,44956,760
22-11-2023,1250,490,760,34265.8,3,2200,-12511,3115,21652.56778,52740,30935,550
23-11-2023,550,0,550,34815.8,3,760,45720,-3337.857143,10900.45712,6570,29935,1329
24-11-2023,1600,271,1329,36144.8,4,550,-27980,849.1428571,889.5093083,7900,1956,1759
25-11-2023,2200,441,1759,37903.8,3,1329,-430,1161.857143,736.4852179,10100,1967,-3931
26-11-2023,1070,5001,-3931,33972.8,3,1759,80,588.8571429,2070.544971,10570,6448,811
27-11-2023,950,139,811,34783.8,3,-3931,1455,496.8571429,2039.723627,9820,6342,731
28-11-2023,900,169,731,35514.8,4,811,2200,287,1906.509988,8520,6511,-29781
29-11-2023,2151,31932,-29781,5733.8,9,731,760,-4076,11492.1654,9421,37953,1011
01-12-2023,1500,489,1011,6744.8,4,-29781,550,-4010.142857,11524.3693,10371,38442,60
02-12-2023,600,540,60,6804.8,3,1011,1329,-4191.428571,11436.02562,9371,38711,450
03-12-2023,1450,1000,450,7254.8,2,60,1759,-4378.428571,11332.74436,8621,39270,-889
04-12-2023,900,1789,-889,6365.8,3,450,-3931,-3943.857143,11410.81739,8451,36058,-5700
05-12-2023,7560,13260,-5700,665.8,4,-889,811,-4874,11222.44575,15061,49179,-138
06-12-2023,0,138,-138,527.8,1,-5700,731,-4998.142857,11154.71143,14161,49148,62
07-12-2023,150,88,62,589.8,3,-138,-29781,-734.8571429,2263.895053,12160,17304,1555
08-12-2023,1630,75,1555,2144.8,3,62,1011,-657.1428571,2341.811153,12290,16890,50
09-12-2023,210,160,50,2194.8,3,1555,60,-658.5714286,2341.303758,11900,16510,435
10-12-2023,450,15,435,2629.8,3,50,450,-660.7142857,2340.126614,10900,15525,2270
11-12-2023,2300,30,2270,4899.8,2,435,-889,-209.4285714,2580.972546,12300,13766,161
12-12-2023,400,239,161,5060.8,2,2270,-5700,627.8571429,917.6080188,5140,745,1600
13-12-2023,2150,550,1600,6660.8,4,161,-138,876.1428571,910.9547059,7290,1157,-1460
14-12-2023,550,2010,-1460,5200.8,3,1600,62,658.7142857,1254.514476,7690,3079,-30
15-12-2023,0,30,-30,5170.8,1,-1460,1555,432.2857143,1207.956224,6060,3034,170
16-12-2023,700,530,170,5340.8,3,-30,50,449.4285714,1202.46578,6550,3404,1430
17-12-2023,1600,170,1430,6770.8,5,170,435,591.5714286,1258.002631,7700,3559,1670
18-12-2023,2970,1300,1670,8440.8,3,1430,2270,505.8571429,1139.435595,8370,4829,-565
19-12-2023,0,565,-565,7875.8,3,1670,161,402.1428571,1207.089672,7970,5155,200
20-12-2023,1100,900,200,8075.8,2,-565,1600,202.1428571,1085.387247,6920,5505,975.51
21-12-2023,1475.51,500,975.51,9051.31,3,200,-1460,550.0728571,822.231083,7845.51,3995,2385
22-12-2023,2440,55,2385,11436.31,3,975.51,-30,895.0728571,1020.921301,10285.51,4020,2474.1
23-12-2023,2730,255.9,2474.1,13910.41,3,2385,170,1224.23,1115.262818,12315.51,3745.9,-3355
24-12-2023,800,4155,-3355,10555.41,6,2474.1,1430,540.6585714,2046.093177,11515.51,7730.9,-5219
25-12-2023,701,5920,-5219,5336.41,5,-3355,1670,-443.4842857,2893.598636,9246.51,12350.9,850
26-12-2023,850,0,850,6186.41,1,-5219,-565,-241.3414286,2932.85361,10096.51,11785.9,-6055.9
27-12-2023,200,6255.9,-6055.9,130.51,6,850,200,-1135.041429,3643.102914,9196.51,17141.8,208
28-12-2023,228,20,208,338.51,2,-6055.9,975.51,-1244.685714,3579.99937,7949,16661.8,540
29-12-2023,550,10,540,878.51,2,208,2385,-1508.257143,3327.225279,6059,16616.8,-578
30-12-2023,0,578,-578,300.51,2,540,2474.1,-1944.271429,2889.579528,3329,16938.9,1759
31-12-2023,1759,0,1759,2059.51,2,-578,-3355,-1213.7,3111.428958,4288,12783.9,1175
01-01-2024,6270,5095,1175,3234.51,6,1759,-5219,-300.2714286,2642.881581,9857,11958.9,-810
02-01-2024,0,810,-810,2424.51,3,1175,850,-537.4142857,2596.535513,9007,12768.9,50
03-01-2024,70,20,50,2474.51,2,-810,-6055.9,334.8571429,914.4532845,8877,6533,-1141
04-01-2024,600,1741,-1141,1333.51,3,50,208,142.1428571,1073.890036,9249,8254,-950
06-01-2024,550,1500,-950,383.51,2,-1141,540,-70.71428571,1128.181976,9249,9744,900
08-01-2024,2100,1200,900,1283.51,4,-950,-578,140.4285714,1155.396448,11349,10366,-555.9
09-01-2024,0,555.9,-555.9,727.61,3,900,1759,-190.2714286,922.7863868,9590,10921.9,2150
10-01-2024,2790,640,2150,2877.61,5,-555.9,1175,-50.98571429,1196.265648,6110,6466.9,-1000
11-01-2024,0,1000,-1000,1877.61,1,2150,-810,-78.12857143,1218.31012,6110,6656.9,830
12-01-2024,1160,330,830,2707.61,4,-1000,50,33.3,1266.691463,7200,6966.9,-950
13-01-2024,0,950,-950,1757.61,3,830,-1141,60.58571429,1238.933036,6600,6175.9,275
14-01-2024,290,15,275,2032.61,2,-950,-950,235.5857143,1156.146286,6340,4690.9,-190
15-01-2024,0,190,-190,1842.61,2,275,900,79.87142857,1124.721721,4240,3680.9,1640
16-01-2024,1650,10,1640,3482.61,3,-190,-555.9,393.5714286,1220.036592,5890,3135,-20
17-01-2024,0,20,-20,3462.61,2,1640,2150,83.57142857,943.7721931,3100,2515,-315
18-01-2024,0,315,-315,3147.61,2,-20,-1000,181.4285714,842.8063948,3100,1830,-895.9
19-01-2024,0,895.9,-895.9,2251.71,3,-315,830,-65.12857143,873.3455496,1940,2395.9,90
20-01-2024,90,0,90,2341.71,1,-895.9,-950,83.44285714,781.3394308,2030,1445.9,230
21-01-2024,580,350,230,2571.71,3,90,275,77.01428571,779.6840609,2320,1780.9,-10
22-01-2024,0,10,-10,2561.71,1,230,-190,102.7285714,772.3438024,2320,1600.9,-390.9
24-01-2024,350,740.9,-390.9,2170.81,3,-10,1640,-187.4,380.861589,1020,2331.8,40
26-01-2024,300,260,40,2210.81,2,-390.9,-20,-178.8285714,385.8987376,1320,2571.8,-105
27-01-2024,550,655,-105,2105.81,4,40,-315,-148.8285714,381.6881393,1870,2911.8,855
28-01-2024,1720,865,855,2960.81,4,-105,-895.9,101.3,384.2136949,3590,2880.9,1950
29-01-2024,1950,0,1950,4910.81,2,855,90,367.0142857,796.7701894,5450,2880.9,213
30-01-2024,800,587,213,5123.81,4,1950,230,364.5857143,797.2831585,5670,3117.9,-4793
31-01-2024,307,5100,-4793,330.81,4,213,-10,-318.7,2121.56322,5977,8207.9,881
01-02-2024,900,19,881,1211.81,2,-4793,-390.9,-137,2168.299872,6527,7486,-312
03-02-2024,258,570,-312,899.81,5,881,40,-187.2857143,2167.592421,6485,7796,680
04-02-2024,800,120,680,1579.81,2,-312,-105,-75.14285714,2192.719881,6735,7261,-700
05-02-2024,0,700,-700,879.81,3,680,855,-297.2857143,2161.325651,5015,7096,-10
06-02-2024,0,10,-10,869.81,1,-700,1950,-577.2857143,1936.982681,3065,7106,-210
07-02-2024,0,210,-210,659.81,2,-10,213,-637.7142857,1914.688723,2265,6729,2190
08-02-2024,2600,410,2190,2849.81,4,-210,-4793,359.8571429,979.7724955,4558,2039,-100
09-02-2024,0,100,-100,2749.81,1,2190,881,219.7142857,962.8190751,3658,2120,250
10-02-2024,750,500,250,2999.81,2,-100,-312,300,934.0949274,4150,2050,155
11-02-2024,200,45,155,3154.81,3,250,680,225,919.4608928,3550,1975,10090
12-02-2024,10590,500,10090,13244.81,3,155,-700,1766.428571,3761.715826,14140,1775,-10370
13-02-2024,0,10370,-10370,2874.81,4,10090,-10,286.4285714,5968.07389,14140,12135,-2655
14-02-2024,50,2705,-2655,219.81,5,-10370,-210,-62.85714286,6072.60231,14190,14630,3004
15-02-2024,3004,0,3004,3223.81,2,-2655,2190,53.42857143,6130.451094,14594,14220,-235
16-02-2024,0,235,-235,2988.81,3,3004,-100,34.14285714,6131.226507,14594,14355,-2740.9
17-02-2024,0,2740.9,-2740.9,247.91,2,-235,250,-393.1285714,6217.287368,13844,16595.9,440
18-02-2024,440,0,440,687.91,1,-2740.9,155,-352.4142857,6222.406126,14084,16550.9,-90
19-02-2024,40,130,-90,597.91,4,440,10090,-1806.7,4253.042922,3534,16180.9,-190
20-02-2024,100,290,-190,407.91,2,-90,-10370,-352.4142857,1958.282751,3634,6100.9,-130
21-02-2024,0,130,-130,277.91,1,-190,-2655,8.3,1675.608923,3584,3525.9,3501
22-02-2024,3600,99,3501,3778.91,5,-130,3004,79.3,1827.358721,4180,3624.9,-260
23-02-2024,0,260,-260,3518.91,3,3501,-235,75.72857143,1828.099655,4180,3649.9,20165
24-02-2024,20200,35,20165,23683.91,3,-260,-2740.9,3348,7535.944953,24380,944,-19
25-02-2024,20100,20119,-19,23664.91,5,20165,440,3282.428571,7567.396357,44040,21063,-60
26-02-2024,0,60,-60,23604.91,1,-19,-90,3286.714286,7565.176264,44000,20993,-10
27-02-2024,0,10,-10,23594.91,1,-60,-190,3312.428571,7551.683098,43900,20713,10
28-02-2024,150,140,10,23604.91,3,-10,-130,3332.428571,7541.224765,44050,20723,-700
29-02-2024,0,700,-700,22904.91,2,10,3501,2732.285714,7691.242741,40450,21324,-550
01-03-2024,0,550,-550,22354.91,2,-700,-260,2690.857143,7710.803037,40450,21614,-20
02-03-2024,0,20,-20,22334.91,2,-550,20165,-192.7142857,299.1904156,20250,21599,-228
03-03-2024,200,428,-228,22106.91,8,-20,-19,-222.5714286,289.2282012,350,1908,15
04-03-2024,200,185,15,22121.91,8,-228,-60,-211.8571429,297.5244688,550,2033,-240.9
05-03-2024,0,240.9,-240.9,21881.01,1,15,-10,-244.8428571,283.903046,550,2263.9,-320
06-03-2024,300,620,-320,21561.01,6,-240.9,10,-291.9857143,261.0083679,700,2743.9,-4600
07-03-2024,0,4600,-4600,16961.01,1,-320,-700,-849.1285714,1664.752559,700,6643.9,-297
08-03-2024,0,297,-297,16664.01,4,-4600,-550,-812.9857143,1675.043801,700,6390.9,-790
09-03-2024,0,790,-790,15874.01,2,-297,-20,-922.9857143,1639.188438,700,7160.9,-535
10-03-2024,0,535,-535,15339.01,2,-790,-228,-966.8428571,1621.506298,500,7267.9,-200
11-03-2024,0,200,-200,15139.01,1,-535,15,-997.5571429,1601.724333,300,7282.9,1630
12-03-2024,1630,0,1630,16769.01,1,-200,-240.9,-730.2857143,1880.80716,1930,7042,66
13-03-2024,140,74,66,16835.01,3,1630,-320,-675.1428571,1900.39754,1770,6496,-5441
14-03-2024,200,5641,-5441,11394.01,5,66,-4600,-795.2857143,2193.813857,1970,7537,200
15-03-2024,300,100,200,11594.01,5,-5441,-297,-724.2857143,2220.507953,2270,7340,559.1
16-03-2024,800,240.9,559.1,12153.11,2,200,-790,-531.5571429,2271.808525,3070,6790.9,1831
17-03-2024,2150,319,1831,13984.11,3,559.1,-535,-193.5571429,2440.923331,5220,6574.9,240
18-03-2024,250,10,240,14224.11,2,1831,-200,-130.7,2446.38895,5470,6384.9,-2025
19-03-2024,1150,3175,-2025,12199.11,5,240,1630,-652.8428571,2397.526129,4990,9559.9,-11705
20-03-2024,920,12625,-11705,494.11,4,-2025,66,-2334.414286,4766.697921,5770,22110.9,95
21-03-2024,270,175,95,589.11,3,-11705,-5441,-1543.557143,4622.435293,5840,16644.9,4259
22-03-2024,4370,111,4259,4848.11,4,95,200,-963.7,5106.81711,9910,16655.9,-4510
23-03-2024,0,4510,-4510,338.11,2,4259,559.1,-1687.857143,5213.188162,9110,20925,5060
24-03-2024,5800,740,5060,5398.11,5,-4510,1831,-1226.571429,5696.866298,12760,21346,51
25-03-2024,100,49,51,5449.11,3,5060,240,-1253.571429,5689.199822,12610,21385,-120
26-03-2024,0,120,-120,5329.11,1,51,-2025,-981.4285714,5691.710606,11460,18330,-95
27-03-2024,0,95,-95,5234.11,4,-120,-11705,677.1428571,3186.120286,10540,5800,430
28-03-2024,5500,5070,430,5664.11,6,-95,95,725,3178.425501,15770,10695,-610
29-03-2024,170,780,-610,5054.11,5,430,4259,29.42857143,2784.500665,11570,11364,-550
30-03-2024,0,550,-550,4504.11,2,-610,-4510,595.1428571,2000.406661,11570,7404,179
31-03-2024,970,791,179,4683.11,6,-550,5060,-102.1428571,375.1743722,6740,7455,-630
01-04-2024,0,630,-630,4053.11,4,179,51,-199.4285714,415.0228336,6640,8036,-140
02-04-2024,1100,1240,-140,3913.11,6,-630,-120,-202.2857143,414.4533405,7740,9156,30
03-04-2024,30,0,30,3943.11,1,-140,-95,-184.4285714,422.4617762,7770,9061,-800
04-04-2024,0,800,-800,3143.11,3,30,430,-360.1428571,377.739076,2270,4791,-310
05-04-2024,0,310,-310,2833.11,4,-800,-610,-317.2857143,361.3284352,2100,4321,-80
06-04-2024,280,360,-80,2753.11,6,-310,-550,-250.1428571,354.4810425,2380,4131,-30
07-04-2024,1850,1880,-30,2723.11,7,-80,179,-280,319.3743885,3260,5220,-2500
08-04-2024,0,2500,-2500,223.11,1,-30,-630,-547.1428571,905.3860003,3260,7090,184
09-04-2024,1320,1136,184,407.11,7,-2500,-140,-500.8571429,937.3856248,3480,6986,496
10-04-2024,700,204,496,903.11,5,184,30,-434.2857143,996.0792663,4150,7190,-840.9
11-04-2024,230,1070.9,-840.9,62.21,4,496,-800,-440.1285714,998.6985443,4380,7460.9,1639
12-04-2024,32589,30950,1639,1701.21,5,-840.9,-310,-161.7,1274.59651,36969,38100.9,-50
13-04-2024,2300,2350,-50,1651.21,3,1639,-80,-157.4142857,1274.967386,38989,40090.9,-1650
14-04-2024,0,1650,-1650,1.21,2,-50,-30,-388.8428571,1389.838986,37139,39860.9,545
15-04-2024,950,405,545,546.21,6,-1650,-2500,46.15714286,1055.179087,38089,37765.9,470
16-04-2024,600,130,470,1016.21,2,545,184,87.01428571,1066.878188,37369,36759.9,-850
17-04-2024,3420,4270,-850,166.21,5,470,496,-105.2714286,1101.611266,40089,40825.9,-130
18-04-2024,0,130,-130,36.21,1,-850,-840.9,-3.714285714,1054.241388,39859,39885,70
19-04-2024,500,430,70,106.21,4,-130,1639,-227.8571429,777.1521577,7770,9365,1050
20-04-2024,1450,400,1050,1156.21,5,70,-50,-70.71428571,917.6256888,6920,7415,780
21-04-2024,780,0,780,1936.21,1,1050,-1650,276.4285714,637.4736222,7700,5765,2435
22-04-2024,2970,535,2435,4371.21,5,780,545,546.4285714,1042.052119,9720,5895,-360
23-04-2024,300,660,-360,4011.21,4,2435,470,427.8571429,1097.921738,9420,6425,1440
24-04-2024,1571,131,1440,5451.21,4,-360,-850,755,989.5242965,7571,2286,1200
25-04-2024,1200,0,1200,6651.21,1,1440,-130,945,916.2468736,8771,2156,520
26-04-2024,1160,640,520,7171.21,4,1200,70,1009.285714,858.5958914,9431,2366,-6853
27-04-2024,1060,7913,-6853,318.21,5,520,1050,-119.7142857,3090.698773,9041,9879,1475
28-04-2024,1600,125,1475,1793.21,7,-6853,780,-20.42857143,3135.260162,9861,10004,650
29-04-2024,650,0,650,2443.21,1,1475,2435,-275.4285714,2970.530472,7541,9469,-2255
30-04-2024,50,2305,-2255,188.21,8,650,-360,-546.1428571,3064.388326,7291,11114,1408
01-05-2024,1650,242,1408,1596.21,2,-2255,1440,-550.7142857,3060.95354,7370,11225,-1493
02-05-2024,907,2400,-1493,103.21,10,1408,1200,-935.4285714,2972.19015,7077,13625,90
03-05-2024,320,230,90,193.21,3,-1493,520,-996.8571429,2941.380143,6237,13215,830
04-05-2024,1380,550,830,1023.21,4,90,-6853,100.7142857,1444.567953,6557,5852,370
05-05-2024,800,430,370,1393.21,5,830,1475,-57.14285714,1324.769216,5757,6157,-70
06-05-2024,250,320,-70,1323.21,6,370,650,-160,1288.160057,5357,6477,-879
07-05-2024,1850,2729,-879,444.21,10,-70,-2255,36.57142857,984.3434118,7157,6901,670
08-05-2024,1060,390,670,1114.21,6,-879,1408,-68.85714286,842.2391641,6567,7049,-1064
09-05-2024,50,1114,-1064,50.21,8,670,-1493,-7.571428571,729.3873816,5710,5763,1770
10-05-2024,4000,2230,1770,1820.21,5,-1064,90,232.4285714,994.9100223,9390,7763,-890.9
11-05-2024,570,1460.9,-890.9,929.31,6,1770,830,-13.41428571,1034.470896,8580,8673.9,1265
12-05-2024,1750,485,1265,2194.31,5,-890.9,370,114.4428571,1139.713753,9530,8728.9,11400
13-05-2024,11530,130,11400,13594.31,5,1265,-70,1753.014286,4403.200563,20810,8538.9,-11300
14-05-2024,0,11300,-11300,2294.31,6,11400,-879,264.3,6636.626181,18960,17109.9,-120
15-05-2024,650,770,-120,2174.31,7,-11300,670,151.4428571,6635.294257,18550,17489.9,-60
16-05-2024,1130,1190,-60,2114.31,7,-120,-1064,294.8714286,6615.464001,19630,17565.9,-855
17-05-2024,650,1505,-855,1259.31,4,-60,1770,-80.12857143,6592.268308,16280,16840.9,-375
18-05-2024,0,375,-375,884.31,4,-855,-890.9,-6.428571429,6584.572698,15710,15755,-575
19-05-2024,100,675,-575,309.31,7,-375,1265,-269.2857143,6562.045812,14060,15945,-260
20-05-2024,0,260,-260,49.31,2,-575,11400,-1935,4138.604837,2530,16075,355
21-05-2024,1070,715,355,404.31,5,-260,-11300,-270,388.0721582,3600,5490,1631
22-05-2024,5970,4339,1631,2035.31,8,355,-120,-19.85714286,822.283493,8920,9059,-685
23-05-2024,650,1335,-685,1350.31,8,1631,-60,-109.1428571,860.4166488,8440,9204,-260
24-05-2024,600,860,-260,1090.31,4,-685,-855,-24.14285714,801.8500335,8390,8559,600
25-05-2024,1600,1000,600,1690.31,10,-260,-375,115.1428571,815.3149552,9990,9184,-520
26-05-2024,0,520,-520,1170.31,6,600,-575,123,807.7858627,9890,9029,-851
27-05-2024,0,851,-851,319.31,6,-520,-260,38.57142857,881.9672815,9890,9620,-50
28-05-2024,210,260,-50,269.31,3,-851,355,-19.28571429,870.9653101,9030,9165,-245.9
29-05-2024,450,695.9,-245.9,23.41,6,-50,1631,-287.4142857,478.9126588,3510,5521.9,738
24-08-2023,2058.278474,0,1984.952637,5584.129522,2,1074.040948,-99.03627741,-517.3575208,2485.893264,14063.44811,13123.73301,210.4762561
25-08-2023,0,94.25480813,-284.6470544,5228.084255,1,-1703.596359,1674.323883,349.3150198,1277.715417,3935.101657,4028.953843,384.5177664
26-08-2023,2914.864403,330.6685111,2833.61009,4332.9808,3,333.5976929,-1874.628081,557.2617461,904.973447,9090.576163,1161.957916,-624.1822664
27-08-2023,464.6636956,250.7616561,-74.21395595,15096.36945,1,-376.0627033,-620.0411409,-1120.049485,1984.112695,3021.16709,8846.108574,2860.739659
28-08-2023,163.2975095,418.024846,168.982667,6860.702074,2,1292.915098,478.5920263,664.8549342,2905.374115,11685.23396,4485.091564,-724.0820814
29-08-2023,2430.050759,0,2542.026876,5232.258838,2,-83.69112405,-820.0351105,-102.3322801,2796.716941,11013.74692,11107.82069,88.66862263
30-08-2023,0,684.4389338,-316.8730097,951.5699279,2,587.4876939,2562.317005,-1814.231542,2647.157982,4514.885102,17674.66983,1918.952412
31-08-2023,0,384.2113242,-697.8819784,1835.471959,6,984.5521629,-142.2450985,-127.3989781,556.2353393,2381.407565,2862.585263,-607.6354838
01-09-2023,2462.704798,565.6621082,1508.829905,37737.00369,3,1169.315602,-553.1919989,1183.778756,381.6939106,14902.82062,1165.626525,-4315.032838
02-09-2023,1163.355914,93.68486552,1452.767964,4269.648188,3,46.49846046,1261.327379,-635.1410327,2303.672127,12737.01968,13058.41393,-48.71190161
